ID,SCREENNAME,FOLLOWERCOUNT
75550501,weiglemc,503
27838943,mpmorillo,488
1089947667852083200,ODUSCI,485
942459317449580553,bobcatsss2019,483
1151474119252336641,EWAConf,479
387831845,maherzog,474
899324236610715648,TheDevsNetwork,468
2533947620,Lmalongo2,467
4896184433,ODUVMASC,455
742639456080039936,4tykhonov,454
221460308,yasmina_anwar,450
2936496598,artlibrariannyc,444
15709458,AntalGP,433
16914744,BrianAcomedian,430
274274893,technelily,428
213612790,mayank_iitgn,423
18638955,mousta,418
5693852,stevesunypoly,416
20816117,jasonhcook,415
14149525,fmccown,409
13686942,jakkbl,406
104591562,oducs,405
2396255567,FFuqiang,399
50410039,NancyAjarmeh,390
2592291038,acnwala,386
1299060908,DanKerchner,383
104074179,mhdfadhil,382
919976834577641473,Michael21870514,381
278661116,aalsum,376
908722394,TicksRock,373
335488383,AtmaKaram,362
1296596841732009985,jvsjsu,352
43868896,kaiec,349
856814478,SamVFritz,340
16309753,Mahmoud_Banna,339
10271802,adammo,334
455827771,BelaGipp,329
284205655,erikaris,328
180473295,justinfbrunelle,324
202501551,mjgengenbach,323
817603403677253633,TirthankarSlg,321
1179138666477674497,millennial_gis,317
197877074,unmil,315
711254847,EgglestonChad,314
2986305078,JCDLConf,313
869113722530402304,yvesmaurer,313
95278991,b1ninch,305
1403868055541854209,StepBaker1,304
195447741,samy_tawab,301
22689222,athurman,300
1086431127500410880,JamesWi47315107,296
122387614,genafraggle,287
16700783,LizzyInfo101,286
1376521629078028288,Respadon_Projet,286
344269976,hstrelecki,285
1723337161,SaraSprenkle,284
360935984,sticledis,279
2151332060,rsko83,272
5380512,danniethedelta,269
606550203,jcdl2013,268
1148354221,emilymaemura,267
1265415165467660292,urlfreezer,265
869730592799281153,CanuckDee2,262
3459604876,ODUmlis,261
2381231737,DrDanetteAllen,255
244663348,LittlePeteHX853,255
1330777669307392001,ArchiveBoxApp,254
57014378,joannafinegan,251
3067930637,JimSaiya,251
732268480179908609,ErikaFrydenlund,250
399555239,PoppaTiger1,245
249127464,aheshamSalem,244
863233914,OpenMaze,237
2607674898,yasithmilinda,231
3234404271,brcrau,229
973652743998115840,brinabyte,228
899700368208261125,Data_Together,227
47233122,vinaygo,227
2322493710,ShanaJones71,226
97436767,ijdl,221
36132608,this_phillips,218
814881163059806208,becerratops,216
739900844531974144,jcdl2017,209
4897300665,wospworkshop,208
264861144,kritika_garg,208
211554263,mqbarrett,207
1249249933833764865,Marcumlau,206
1200468920,MyriamCTraub,206
220983330,helgeho,206
390440010,LanaAlsabbagh,206
3085709819,jackieinva,205
953186687261134848,yuwen_lu_,201
1159091256766713856,HimarshaJ,199
1794171,ptrourke,197
164805193,pavlos098,197
1511472330,maturban1,196
113305345,BrenMckinley,188
4844579470,johnaberlin,185
149005714,PrateekPrasana,183
261697874,AhmedAAlghamdi,182
201612370,hanysalaheldeen,180
70381169,Seekjesusnow,176
15931296,fanchyna,172
2173480850,BreitingerC,172
279176818,SyedRizvi114,171
539316186,aparupkhatua,161
1118163140485832704,AlexGar89904842,158
4738176435,Mementoweb,157
32747579,ScottGAinsworth,153
206340497,webarchiv_cz,149
813645631294152705,Sageprofessor,148
8500742,carltonnorthern,146
1082272780542988289,Gavindya2,146
27013170,moffattchristie,142
1288735657863643136,ordSerbia,141
1061370768385327105,metamerlabs,138
57553780,babbiep,136
743848332804628485,jcdl2018,128
26921595,CandyHatcher,126
149163722,chandakaniket,124
4909734269,ricardobasilio_,124
3405639663,jcdl2016,124
15785369,pfoytik,119
1131248236168175617,DKE_Group_Gipp,118
1052541652680638464,Mayukh84159000,118
