ID,SCREENNAME,FOLLOWERCOUNT
1285333231064293378,dpoe_network,527
1450002808229580805,claasen_llew,32
1441071761030664197,SwathiVenk,5
239722311,JoeranBeel,554
799574,dietrich,5170
1469241337,thiriveedhisree,23
1365325922157658117,CosseyKimberley,69
1448199718425796612,tpdl2022,25
1443902183133564931,laminca04748103,42
262147093,thesquashSH,2077
1326942361440706561,GSSTCompSci,0
1442915751451500544,TariqueRukshan,6
1367257633602740227,15Jowens,11
1367260620555452423,kaypineda3,6
754350150357807104,HermannKroll,20
95278991,b1ninch,305
64245814,sethvanhooland,1498
791341720470429696,penny2hutson,13
780941853512372224,_SheenSheen_,0
1427564913602568193,jcdl2022,74
222584301,adbarbaresi,637
16632193,LyndaLSF,86
918044600,out_of_townie,1
846974414256324608,LunaticBugbear,8
497739974,mk344567,38
780577332805242880,EmilyEscamilla_,28
1432774155804499975,NorfolkIndoor,67
261697874,AhmedAAlghamdi,182
378202816,Milbala,8
1061616835,JamieMSmyth,1254
1417759092593119234,nasreenarif95,4
732268480179908609,ErikaFrydenlund,250
47971284,AGreenDCBike,1211
1288735657863643136,ordSerbia,141
116337949,mfgaede,1914
14121668,euanc,2700
991182416,VickyRampin,2193
1265415165467660292,urlfreezer,265
2997497762,kutmaakclement1,53
1425100401217576961,MathiasStefan5,29
1106307650533363714,Harrypatrick687,41
2511044237,AjayiKehindep,41
8273852,silvertje,7097
1083178126945984513,SoadIbrahim16,8
32917718,CristianNorocel,953
2798804447,oacore,2350
1403868055541854209,StepBaker1,304
1376521629078028288,Respadon_Projet,286
3186594402,nepali_photon,104
149005714,PrateekPrasana,183
1398702580591742979,abraham76262148,6
1396290621644607490,DivideZero2,14
2490297780,valerie_schafer,2195
18957805,internetarchive,192715
279176818,SyedRizvi114,171
844036734,La_Elichola,1593
1384087863248134150,Lucy04391572,17
1190461842922995712,CIKM2021,777
1363378838479261697,Bright78630075,15
271609574,SebRobMTL,77
1366415265458700293,EthanDsmith2,30
953186687261134848,yuwen_lu_,201
22160201,fpmarconi,23423
18399014,PatWhite70,41543
1235595204175884289,liya_lamia,31
2025101,PFCdgayo,1730
1357492233566584832,RobertMaxSlick1,12
2806320271,maruf_sakib,68
888821797122080768,SpirosTsalikis,7
1296596841732009985,jvsjsu,352
1354184838941696008,MummertWilliam,8
905638971362996224,DannyDChef,53
1352772840110616577,cbusd001,4
1569615132,abhiram_1289,102
1033301899536228352,dimitri81228179,9
1336774232676700162,ThomasA22080824,0
233049998,ondranicole,12
8500742,carltonnorthern,146
335488383,AtmaKaram,362
1330777669307392001,ArchiveBoxApp,254
1328690921446273024,AcmPads,12
1319251826982686720,OrodjeAme,16
719447142650273792,datovisual,826
1308740938785861636,ZKavvadia,5
3940651277,migohe14,105
13686942,jakkbl,406
831353796,AmandaGreenw00d,50
752355219955154944,lee_bcg,801
